,question,classification
11674,"Dramawan mana yang hidup lebih lama, Edward Albee atau J. M. Barrie?",C
11675,Apakah kedua Universitas Rutgers dan Universitas Carnegie Mellon terletak di Amerika?,C
11676,"Vanessa Bley adalah orang yang mengorganisasi dan sering kali mendanai konser, drama, atau opera, yang berperan?",C
11677,Apakah Thomas H. Ince dan Joseph McGrath dari kebangsaan yang sama?,C
11678,Apakah Phlebodium dan Pieris kedua spesies pakis?,C
11679,Jembatan Bartlett dibangun oleh insinyur yang bekerja untuk county tempat tinggal Massachusetts?,C
11680,"Novelis mana, J. G. Farrell atau Louis Aragon, yang menulis tentang konsekuensi politik dan manusia dari pemerintahan kolonial negaranya?",C
11681,Kota mana yang membuat tokoh-tokoh Gargoyle the Movie: The Heroes Awaken terbangun setelah berada dalam keadaan yang penuh pesona selama seribu tahun?,C
11682,Siapa produser acara yang Chris McKay membuat fitur nya film sutradara debut?,C
11683,Waterloo Vase telah digunakan sebagai hiasan kebun di kediaman dan kantor pusat administrasi?,C
11684,Scott Sandelin dibesarkan di sebuah kota di Minnesota?,C
11685,Ke-37 Disney fitur animasi Tarzan fitur Anda akan berada di hati saya oleh seniman yang?,C
11686,Media macam apa kesamaan J.T. Petty dan Outlast?,C
11687,"Di mana arsitek Gedung Gubernur, yang terletak di Knutsford, lulus dari perguruan tinggi?",C
11688,"Apa album terbaru Tim Hecker, pembuat musik elektronik Kanada?",C
11689,Apa nama perusahaan Fortune 500 Amerika yang mengoperasikan toko perbaikan rumah ritel yang mensponsori House Rules?,C
11690,"Untuk apa ""pertama"" keponakan Ivory Lee Brown dikreditkan di Heisman Trophy pemilihan?",C
11691,"Haruki Murakami mengatakan bahwa menulis ""Dance Dance Dance Dance"" telah menjadi aksi penyembuhan setelah ketenarannya yang tak terduga mengikuti publikasi sebuah novel yang diterbitkan pada tahun berapa ?",C
11692,Erica Packer adalah istri kedua dari pengusaha Australia apa?,C
11693,Media macam apa kesamaan Bitter Jester dan Sicko?,C
11694,"Negara apa Eric A. Sykes dan Eccles, Manchester Greater memiliki kesamaan ion?",C
11695,"Aktor Korea Selatan mana yang menjadi anggota acara pop duo TVXQ dan menatap Menuju ke Ground, serial TV MBC 2009?",C
11696,"yang biasanya mabuk sebelum pensiun ke tempat tidur, Hot toddy atau Kir?",C
11697,"Tahun berapa film ""Ibu"" dirilis, membintangi Shashaa Tirupati?",C
11698,Untuk One Night Only adalah tuan rumah oleh orang yang paling terkenal untuk hosting acara apa dari 1962 sampai 1999?,C
11699,Perusahaan apa yang dibentuk Roscoe Channing dengan pemilik kuda pacuan ras ras yang terkemuka?,C
11700,"Jens Risom memperkenalkan rancangan seperti apa, yang dicirikan oleh minimalisme dan fungsionalitas?",C
11701,Film mana yang memiliki Rich Lee 3-D previsualizations diarahkan oleh Francis Lawrence?,C
11702,Kriteria apa yang secara subjektif memenuhi syarat Houston Astrodome yang disebut Keajaiban Dunia Kedelapan?,C
11703,"Siapa yang pertama lahir, José Echegaray y Eizaguirre atau P.J. O'Rourke?",C
11704,Siapa yang bermain Doncaster Belles di Final Piala Wanita di Glanford Park tahun 1994?,C
11705,Apa tindakan untuk catatan tak bersalah mencapai penjualan Platinum dan berbagi namanya dengan warna utama dalam model warna RGB?,C
11706,"Distrik bersejarah nasional apa yang terletak di dekat sebuah desa di kota Philipstown, New York?",C
11707,Penulis Amerika mana yang menulis The Ganymede Takee (1967) dan The Man in the High Castle (1962)?,C
11708,Curt Menefee adalah tuan rumah dari acara NFL jaringan Fox bersama Michael Anthony Strahan yang menghabiskan seluruh karirnya selama 15 tahun dengan tim apa?,C
11709,Francisco Jose Hernandez adalah peserta dalam invasi yang terjadi pada tahun berapa?,C
11710,Mati tapi Rising adalah lagu oleh band Denmark difokuskan di kota apa pada tahun 2001?,C
11711,"Orang itu, yang penghargaan di mana ""Summer of the Monkeys"" menang, adalah juru bicara untuk sektor putih Amerika?",C
11712,Aktor utama mana di Perang Chhod Na Yaar juga berperan dalam film bahasa Bengali dan Inggris?,C
11713,Jenis film apa yang Wishing Tangga dan Suara?,C
11714,"Anggota pemain Alice Upside Down juga bintang dalam ABC Family/Freeform drama ""Switched at Birth?""",C
11715,Film macam apa yang disutradarai oleh F. Javier gufierrez membuat model Italia dan artis terkenal?,C
11716,Di daerah mana Raja Inggris Harold Godwinson dimakamkan?,C
11717,"Siapa yang menulis The Devils, dan merupakan teater Inggris, opera dan sutradara film?",C
11718,Yang Grand Slam singles turnamen telah Francesca Schiavone dan Olga Morozova keduanya finalis di?,C
11719,"""Kapitän zur See"" Ernst Lindemann adalah komandan dari mana salah satu dari dua kapal perang dibangun untuk Nazi Jerman ""Kriegsmarine""?",C
11720,"Tim sepak bola mana yang kakaknya Lewis Young, Ashley Young, yang bermain?",C
11721,Snowdrop adalah mesin game proprietary pertama kali mengungkapkan dengan online-only action role-playing video game dikembangkan oleh siapa?,C
11722,Wendy Ayche ditampilkan pada 2016 dalam produksi tahunan yang dibuat oleh Youtube dan organisasi lain apa?,C
11723,"John MacGregor, Baron MacGregor dari Pasar Pulpham dididik di Universitas St Andrews dan universitas lain yang didirikan oleh monach apa?",C
11724,"Permainan mana yang pertama dirilis, potongan Icehouse atau Kill Doctor Lucky?",C
11725,American Blues termasuk drummer dari band rock Amerika mana?,C
11726,"Aktor India dan filantropis, yang membintangi ""Mera Damad,"" memasuki industri film pada tahun berapa?",C
11727,Jeep Cherokee awalnya dijual sebagai varian model Jeep yang diproduksi selama tahun berapa?,C
11728,Di mana orang yang lahir yang diakui oleh DIAL dan adalah sopran Amerika?,C
11729,"Majalah mana yang lebih tua, Galeri atau Dime Magazine?",C
11730,yang penulisnya memiliki keterampilan tertinggi Langston Hughes atau Ian McEwan,C
11731,Seberapa besar pusat perbelanjaan di mana stasiun radio KGOT memiliki studionya?,C
11732,Apa nama-nama anggota dari duo hip hop berbasis Detroit yang telah bekerja dengan Jason Gilbert?,C
11733,"Yang memiliki populasi yang lebih besar, Shanghai atau Hanggin Rear Banner?",C
11734,"Jacques Matyo membintangi Delicatessen, film Prancis tahun 1991 dalam film animator Amerika yang terkenal?",C
11735,"Jacques Sernas, aktor dalam film Fugitive in Trieste, berasal dari negara apa?",C
11736,Logo VMAQT-1 adalah roh wanita dalam mitologi Irlandia yang mengumumkan kematian apa?,C
11737,"Aktris yang memainkan peran utama dalam film independen ""A Perfect Ending"" juga bintang dengan John Bregar dalam film 2008 yang diarahkan oleh siapa?",C
11738,"Band yang mana dari Inggris, Fireflight atau dirty Pretty Things?",C
11739,"The Bart the Fink episode The Simpsons ditayangkan pada Februari 1996, dan melibatkan tuan rumah acara anak-anak?",C
11740,"Mal yang mana, Wilton Mall atau Viaport Rotterdam, memiliki lebih banyak pemilik?",C
11741,Yang teman dekat mantan pemain basket Amerika ditandatangani untuk bermain untuk Timberwolves?,C
11742,Berapa populasi 2010 di kota 2.1 mil barat daya Stasiun Angkatan Udara Marietta?,C
11743,Apakah Negara Terkubur dan Perbatasan Selatan kedua film berubah menjadi pertunjukan panggung?,C
11744,"""A Summer in the Cage"" dan ""American Hardcore"" keduanya film apa?",C
11745,Berapa banyak novel yang ada dalam seri novel yang Shadows in Flight adalah novel kesepuluh?,C
11746,Salah satu pelatih dari Southern Methodist University juga berperan apa di Arizona State Sun Devils?,C
11747,Berapa tinggi pemain yang memenangkan Penghargaan Bintang Terbitan AFL 2015?,C
11748,Las Vegas Festival Grounds utara hotel yang dimiliki oleh perusahaan mana?,C
11749,"Film musik apa yang lebih tua, Bedknobs dan Broomsticks atau The Muppet Christmas Carol?",C
11750,"Sistem sungai di Chilhowie, Virginia adalah tempat awal bagi sebagian besar pemburu Long?",C
11751,Apa partai yang perwakilan House of Commons untuk Congleton milik?,C
11752,Season 2 of Rick dan Morty dimulai dengan episode diarahkan oleh siapa?,C
11753,Untuk tim apa penerima Medali Brownlow 2007?,C
11754,Apakah Pertempuran Sungai Stones dan Pertempuran Sungai Ch'ongch'on terjadi pada abad ke-19?,C
11755,"Siapa yang lebih ahli profesi, Phil Rosen atau Delmer Daves?",C
11756,"Band mana yang punya anggota lebih, Test Icicles atau X Duta Besar?",C
11757,Film The Boatniks and The Great Locomotive Chase keduanya dibuat oleh perusahaan produksi mana?,C
11758,Berapa lama sungai yang Prancis Creek adalah anak sungai?,C
11759,Dimana sekolah dimana Tyler Kalinoski berada?,C
11760,Ambrose Mendy telah mengelola dan / atau menyarankan petinju profesional Inggris bahwa pada Juli 2017 peringkat ketujuh dunia super kelas menengah oleh siapa?,C
11761,"Rejuvelac adalah jenis air biji-bijian diciptakan dan dipromosikan oleh praktisi ""kesehatan gila"" lahir pada tahun berapa ?",C
11762,Apa tuan kota sebuah konferensi keuangan media tahunan yang telah menampilkan mogul Amerika kelahiran Australia?,C
11763,Ronald Reagan dan George H. W. Bush keduanya memegang posisi mana di kantor?,C
11764,"Di antara The Bears dan aku dan Oceans yang dirilis pada 31 Juli 1974, oleh Buena Vista Distribution?",C
11765,Buku apa yang menyediakan fondasi bagi tim riset Masters dan Johnson?,C
11766,"Apa bintang ""Serang Gryphon"" juga seorang penyanyi suara di Johnny Bravo?",C
11767,"Film fantasi tahun 1971 mana yang menampilkan lagu ""The Age of Not Believing""?",C
11768,Mick Carter adalah pemilik rumah umum yang terletak di alamat mana?,C
11769,"Apa thriller antologi televisi melakukan pemenang satu Golden Globe, dua tony Awards dan enam Primetime Emmy Awards muncul di?",C
11770,Apa Kepulauan Cayman terdaftar Mandarin dan Cantonese-bahasa televisi penyiar diluncurkan Phoenix Hong Kong Channel pada 28 Maret 2011?,C
11771,Apa nama film yang dibintangi Rose McGowan dan menampilkan karakter putri Earl McGraw?,C
11772,"Chimaja Appawas adalah adik dari seorang jenderal Imperium Maratha di India, yang melayani sebagai apa yang menjadi ciri khas Maratha Chhatrapati Shahu kelima dari tahun 1720 hingga kematiannya?",C
11773,Siapa nama anak tertua yang menghadiri pertemuan kampanye-Rusia Trump?,C
11774,Resimen Virginia 1 melihat tindakan pada pertempuran yang menyebabkan keberangkatan Gubernur Kerajaan apa?,C
11775,Telenovela Argentina mana yang disiarkan oleh Telefe dari 12 Maret hingga 19 Desember 2012 membintangi Isabel Macedo sebagai Jimena Benitez?,C
11776,Apa posisi orang yang melayani Pangeran Andrew dari 1990-2001?,C
11777,Apakah Agee dan Untuk Menembak Gajah keduanya dokumenter tentang perang?,C
11778,"Aquifer tabel air dangkal apa yang terletak di dekat wilayah tempat duduk Keith County, Nebraska?",C
11779,Siapa yang pertama lahir Mahbub ul Haq atau Ibnu Arabi?,C
11780,Apa yang dewi hubungkan dengan dewi Frigg terdiri dari cerita apa?,C
11781,"Kompetisi apa yang diadakan di Kathmandu, Nepal bersaing dengan Julian Bolling pada tahun 1984?",C
11782,William Pery menjabat sebagai Kapten Yeomen Pengawal di bawah penguasa yang bertugas di posisi apa dari 1865 sampai 1868?,C
11783,William Cammisano adalah bagian dari keluarga mafia mana?,C
11784,1956 Pertandingan Piala Seri Malam dimainkan di pinggiran kota Melbourne yang 3km selatan dari distrik bisnis pusat Melbourne?,C
11785,Kapan pertandingan yang diadakan tiga kali di Asia Timur diadakan pertama kali,C
11786,Edge Pictures Blinding memproduksi film 2000 yang dibintangi Bruce Willis?,C
11787,"Dinosaurus macam apa Raymond Ochoa suara dalam film Pixar ""The Good Dinosaur""?",C
11788,Yang American Space Western seri animasi tidak Celebrity Home Entertainment dirilis,C
11789,Bagaimana gajah berhubungan dengan Gajabrishta?,C
11790,"Pertempuran mana yang pertama terjadi, Pertempuran Manila atau Pertempuran Guam?",C
11791,Kam Heskin memainkan Paige Morgan dalam film 2004 diarahkan oleh siapa?,C
11792,"Apa aktor film tahun 2016 Xavier Samuel dan seorang aktris yang menggambarkan Vasilisa Dragomir dalam film ""Vampire Academy""?",C
11793,Apa jenis profesi Ishu Engal Neethi dan Shoba Chandrasekhar memiliki kesamaan?,C
11794,Dalam bidang apa perusahaan di mana Claudio Fernández-Aráoz adalah saat ini penasihat senior menawarkan layanan?,C
11795,Eric Ambler dan Carol Shields adalah profesi terbaik yang dikenal sebagai apa?,C
11796,"Kelompok mana ""Official Irlandia"" yang terdiri dari sekitar 78,3% penduduk Irlandia?",C
11797,Di mana foto telefilm yang didasarkan pada buku Katherine Paterson tahun 1977?,C
11798,TV kabel Amerika mana dan pembawa acara radio yang menjadi wakil GOP,C
11799,Apa Divisi adalah tim sepak bola perguruan tinggi yang dipecat mereka pelatih kepala pada tanggal 24 November 2006?,C
11800,"Yang mana mingguan Macedonia, Hänt Extra atau Tea Moderna?",C
11801,Apa negara berbagi keturunan antara Art Laboe dan Scout Tufankjian?,C
11802,Siapa yang memprogram sistem pengembangan berbasis kartrid yang dibuat oleh sebuah perusahaan yang tercatat untuk mengotorisasi Atari's BASIC?,C
11803,"Yang rekaman label dirilis Van Morrison's ""I've Been Working"" pada album ""His Band and the Street Choir""?",C
11804,Benci Mereka adalah album kesembilan oleh band disamakan dengan siapa?,C
11805,"Bagaimana Emilie du Chatelet, kasih Voltaire, turut menghasilkan hukum dasar fisika?",C
11806,Apakah Goo Goo Dolls dan Echosmith dibentuk di kota yang sama?,C
11807,Pemilu walikota Detroit tahun 2009 berlangsung untuk mengisi kekosongan yang diciptakan oleh politisi yang dijatuhi hukuman apa?,C
11808,Pada tahun berapa tim yang dimainkan Luke Clark tepat di belakang atau tengah lapangan untuk didirikan?,C
11809,Jenis musik apa yang dimainkan oleh Tappi Tíkarras dan INXS?,C
11810,Teka-teki-platform video game dikembangkan oleh Valve Corporation adalah bagian dari apa game petualangan aksi 2012?,C
11811,Apa yang menghasilkan hormon yang mempromosikan retensi natrium pada nefron distal?,C
11812,Berapa banyak kursi Senat yang akan diperebutkan selama pemilihan tengah semester yang diajukan Nancy Soderberg untuk mencalonkan diri sebagai anggota Kongres?,C
11813,Di antara Berghuis v. Thompkins dan Mississippi University untuk Perempuan vs Hogan yang merupakan kasus diputuskan 5-4 oleh Mahkamah Agung Amerika Serikat?,C
11814,Penyanyi jazz mana yang memiliki album 2003 berjudul The Boy Next Door?,C
11815,Aktor yang muncul di film Shorts and Weeds Charlotte lahir tahun berapa?,C
11816,"Setelah dia dikontrak oleh tim kantor pusat di Affalterbach, Baden-Wrttemberg, Jerman, Dario Franchitti bersaing dalam seri apa?",C
11817,"Pada tahun berapa divisi ini, di mana Cleveland Browns ditempatkan keempat pada tahun 2009, mengadopsi namanya saat ini?",C
11818,Berapa banyak restoran yang ada di rantai restoran yang Ron Joyce bantu temukan?,C
11819,Anthony Avent bermain basket fo SMA yang terletak di kota sekitar 8 mi barat dari mana?,C
11820,Apa edisi tenis 'AS Open adalah 2017 US Open ketika Petra Kvitova adalah perempat finalis?,C
11821,Walt Zeboski difoto Presiden ke-40 yang mana selama kampanyenya pada tahun 1980?,C
11822,"Film macam apa ""500 Tahun Kemudian"" dan ""Manson""?",C
11823,Siapa film yang menyutradarai debut Kim Dae Woo?,C
11824,Kota mana yang terkenal dengan cerita humor ilmiah berdasarkan kombinasi lidah dalam keju dari dua pepatah yang lahir?,C
11825,Apa kapasitas penumpang terbesar jenis pesawat yang digunakan untuk BOAC Penerbangan 911?,C
11826,"Apa ulang tahun aktris Anglo-Irish, courtean, dan nyonya, yang ibu untuk anak haram Raja William IV?",C
11827,"Selama tahun-tahun adalah model mobil, ditampilkan pada sampul Bumi ""Pentastar: Dalam Gaya Demons"" diproduksi?",C
11828,"""Rally Vic"" dijual bersama model lain yang dijual secara eksklusif di Jepang di dealer Honda Verno?",C
11829,Apakah Gasherbrum II atau Nuptse terdekat dengan gunung tertinggi di dunia?,C
11830,Yang konstituen perguruan tinggi University of Oxford endows empat persekutuan profesoral untuk ilmu pengetahuan termasuk kimia dan matematika murni?,C
11831,"Di kebun raya London mana Anda dapat menemukan jamur yang digambarkan oleh Elise Maud Wakefield sebagai ""Lepiota""?",C
11832,"Siapa yang bekerja sama dengan Rihanna pada rilis album ""Numb""?",C
11833,Christopher Oscar Pena diakui oleh merek industri hiburan ditujukan untuk apa?,C
11834,"Apa kebangsaan aktor bermain sandera Rusia di ""Hostage selama sehari""?",C
11835,Anthem Nasional Argentina diadopsi 3 tahun setelah peristiwa mana yang menyebabkan penghapusan Raja Muda Baltasar Hildalgo de Cisneros?,C
11836,Profesi apa yang dimiliki S. Sylvan Simon dan Danny Cannon?,C
11837,Album nomor berapa album W.A.S.P pertama yang menampilkan Steven Edward Duren bermain gitar?,C
11838,Di kota mana tim sepak bola Freebooters F.C. kalah dalam tim sepak bola yang sekarang dikenal sebagai Croke Park?,C
11839,Skenario apa yang dikerjakan Edward Carfagno dan Miklos Rozsa?,C
11840,Komposer avant-garde Jepang mana yang belajar dengan John Cage dan menulis Music for Electric Metronomes?,C
11841,"Dimana akademi, dimana Joseph D. Stewart ditunjuk menjadi Inspektur, berada?",C
11842,James Spedding dikenal sebagai editor karya seorang penulis yang melayani sebagai Jaksa Agung dan sebagai apa?,C
11843,"Film mana yang disutradarai oleh James Gunn menggambarkan karakter fiksi, Ego the Living Planet?",C
11844,"Pemerintah Kanada, yang merupakan administrasi federal Kanada, terlibat dalam skandal apa di Provinsi Quebec?",C
11845,"yang harus melarikan diri nazis, Sigmund Freud atau Evelyn Waugh?",C
11846,Conrad Anker terletak tubuh seorang pendaki gunung yang mengambil bagian dari tiga ekspedisi Inggris pertama ke gunung mana?,C
11847,José Saramago dan Ivo Andrič adalah penerima penghargaan apa dalam Sastra?,C
11848,Apakah Chlidanthus dan Maianthem keduanya tanaman bunga?,C
11849,Bintang Duke Steps Out seorang aktris yang peringkat kesepuluh pada daftar terbesar wanita Hollywood bintang di tahun berapa?,C
11850,Mesin drum mana yang diperkenalkan pada tahun 1989 dan membiarkan 32 nada dimainkan secara simultan?,C
11851,"Band mana yang pertama dibentuk, Wavves atau Kode Sosial?",C
11852,Iselin Solheim menyediakan vokal dalam lagu yang dirilis pada tanggal berapa?,C
11853,"Apa yang pertama - tama terjadi, Perang Korea atau invasi Sekutu Barat ke Jerman?",C
11854,Apakah Mauritz Stiller dan Johannes Grenzfurthner memiliki kebangsaan yang sama?,C
11855,Luke Null adalah aktor yang berada di program yang perdananya 43 musim pada tanggal berapa?,C
11856,"Dengan siapa penyanyi Amerika ini, penulis lagu dan produser rekaman, yang berkontribusi pada single ""Marvin Gaye"" dengan Julie Frost, co-produced dan menampilkan lagu 2015 untuk soundtrack film?",C
11857,"Pada tahun berapa Guild of Music Supervisors Awards mengakui film drama romantis Inggris-Amerika berdasarkan novel romansa tahun 1952 ""The Price of Salt"" dibintangi Cate Blanchett?",C
11858,"Siapa yang telah merilis lebih banyak album studio, Candlelight Red atau Motion City Soundtrack?",C
11859,Nomor presiden Annie Caputo dinominasikan oleh untuk menjadi anggota Komisi Regulasi Nuklir?,C
11860,Jack Alfred Evans bermain dengan tim klub sepak bola yang berbasis di kota mana di Australia?,C
11861,Kapan tanggal lahirnya penemu Inggris yang mengembangkan mesin minyak Richard Hornsby & Sons?,C
11862,Di mana kompleks olahraga di mana Will Brodie membuat debutnya di tiga puluh lima poin kerugian terhadap Melbourne terletak?,C
11863,Sekolah Katolik Kardinal Pole Roma dinamai menurut Katolik Roma yang terakhir untuk mempertahankan posisi apa?,C
11864,"Pekerjaan apa yang Jörgen Smit kerjakan, di mana dia bekerja di pusat dunia untuk pergerakan antropologis?",C
11865,Telemovie Dogwoman diciptakan oleh seorang aktris yang lahir pada tahun berapa?,C
11866,Southeastern Illinois College menawarkan gelar sarjana yang dianggap sebagai tingkat pendidikan yang lebih tinggi daripada apa?,C
11867,American Sweetgum adalah jenis tanaman serangga apa?,C
11868,Buku pertama di sprawl Trilogi memenangkan tiga penghargaan apa?,C
11869,Obat apa saja yang termasuk dalam daftar narkoba ilegal di Filipina dan dapat diminum melalui mulut atau melalui suntikan?,C
11870,"Telenova ""El Ardiente Secreto"" didasarkan pada novel yang diterbitkan dengan nama pena apa?",C
11871,Pada 2012-13 FC Sion mereka membawa Gennaro Gattuso dan pemain yang sekarang bermain untuk tim Skotlandia apa?,C
11872,"WAVN adalah stasiun siaran Injil yang terhubung dengan kota DeSoto County mana, Mississippi?",C
11873,"Azad Hind Dal diciptakan oleh seorang nasionalis India yang menantang patriotisme membuatnya menjadi pahlawan di India, tapi yang mencoba untuk menyingkirkan India dari kekuasaan Inggris selama perang apa meninggalkan warisan bermasalah?",C
11874,"Apa Inggris stand-up komedian memiliki gaya komedi penuh dari ""stream-of-connected banter""?",C
11875,Apakah keduanya Jim McBride dan Neil Jordan Amerika?,C
11876,Apa peringkat tertinggi di Amerika Serikat untuk tunggal ditulis oleh multi-instrumentalis Inggris?,C
11877,Era dan Naj wanita adalah majalah seperti apa?,C
11878,Nama musisi yang bekerja dengan Hiren Roy dan Vilayat Khan.,C
11879,Apakah tanaman bunga Ecballium dan Elatostema dalam keluarga yang sama?,C
11880,Apakah Ganzhou dan Jimo Distrik keduanya terletak di Cina?,C
11881,"Yang memiliki lebih banyak spesies, Aichryson atau Polypodium?",C
11882,"Siapa psikolog yang menulis tentang murid orang yang dikenal sebagai ""Wild Woman of Buttle""?",C
11883,Adopsi dan Undang-Undang Keluarga Aman dan Inisiatif Adopsi 2002 keduanya ditetapkan di bawah pemerintahan mana?,C
11884,"Band mana yang terbentuk di Inggris, Montreal atau Vib Gyor?",C
11885,"Katedral Gualdo Tadino, katedral Katolik Roma, dibaktikan untuk Saint Bendict dari Nursia yang merupakan santo pelindung di benua mana?",C
11886,Di mana pelatih dari tim sepak bola Cowboys Oklahoma 1999 yang disewa pada tahun 2013?,C
11887,Siapa penulis produksi Madge Ryan tahun 1993 yang berpartisipasi?,C
11888,Apa itu James Hetfield dan Bob Marley?,C
11889,Pada tanggal berapa film komedi yang disutradarai oleh Kevin Tent dan membintangi aktris Bulgaria-Kanada yang dikenal karena menggambarkan peran Mia Jones akan dirilis di video pada layanan permintaan?,C
11890,Perusahaan mana yang memiliki hotel pada tempat Cotal Arena terletak?,C
11891,Rex Riot dikenal karena remix lagu Kanye West yang berasal dari album mana?,C
11892,"Company They Keep adalah buku yang ditulis oleh Diana Pavlac Glyer, yang adalah seorang profesor di sebuah universitas di Azusa, Kalifornia, yang didirikan pada tahun 1899, dan berada di bawah naungan agama apa?",C
11893,Kota dan negara mana yang merupakan lokasi Olimpiade Pasifik 2015 di mana tim basket nasional Kiribati selesai dengan rekor 0-4?,C
11894,Apa tanggal rilis dan harga untuk rilis Mac OS X yang memiliki perangkat lunak untuk menciptakan file WWF?,C
11895,"Penulis mana yang mempengaruhi acara TV Paskah ""The First Easter Rabbit""?",C
11896,Miss Knope Goes to Washington adalah premier musim kelima dari komedi politik Amerika sitcom dibintangi Amy Poehler sebagai siapa?,C
11897,Lorenzo Monaco dipengaruhi oleh pelukis dan arsitek Italia mana?,C
11898,"Piala La Manga 2011 dimenangkan oleh Viking, yang mengalahkan klub sepak bola Norwegia mana dari kota Kristiansand, yang saat ini bermain di Tippeligaen telah dipromosikan dari Adecoligaen pada 2012?",C
11899,Kapan tur dimulai untuk album Taylor Swift dirilis pada 22 Oktober 2012?,C
11900,Di universitas mana psikoanalisis terkenal terkait dengan Universitas Chicago melayani sebagian besar karirnya sebagai profesor psikiatri?,C
11901,"Gedung Olahraga Chicagoland didirikan oleh perusahaan yang terletak di kota Washington, dekat ibukota negara bagian?",C
11902,"Album ""The Best of LeAnn Rimes"" berisi lagu yang digunakan sebagai lagu tema untuk film.",C
11903,Hotel Rahasiaku adalah serial televisi yang membintangi seorang DJ Korea Selatan yang terkenal sebagai aktris utama dalam hal apa?,C
11904,Dimana penulis buku Thoughts of Machiavelli lahir?,C
11905,Itu album dengan lagu Unbelievable oleh rapper Amerika The Notorious B.I.G dirilis?,C
11906,Catatan NCAA mana yang dimiliki quarterback Viking Minnesota?,C
11907,"Yang raja Northumbria tidak The ""Historia"" memberikan abbot pusat tempat dalam pemilihannya sebagai raja",C
11908,Apa dasar yang para pakar berikan untuk kemungkinan kolaborasi pada William Shakespeare Play yang ditulis antara tahun 1588 dan 1593?,C
11909,"Fantasy Records dikenal sebagai rekaman komedian Lenny Bruce, Creedence Clearwater Revival, dan pianis jazz Amerika apa yang menyusun musik untuk adaptasi televisi animasi dari komik ""Peannuts""?",C
11910,Kapan lahirnya salah satu pendiri Asosiasi Reformasi Kongo?,C
11911,Negara mana yang berbatasan dengan Republik Afrika Tengah dan di sebelah selatan Libya dan Nigeria?,C
11912,Bagian mana yang diterbitkan Ludwig van Beethoven pada tahun 1801 yang didedikasikan untuk Count Moritz von Fries?,C
11913,"Rantai restoran Amerika, Rumah Pie Asli, juga bertanggung jawab untuk rantai minuman buah Amerika toko dengan minuman eponymus terdiri dari apa?",C
11914,Red Mountain adalah film yang berpusat pada upaya oleh sekelompok apa kelompok ranger Perang Saudara?,C
11915,"Tahun berapa aktor yang membintangi serial ""The Soul Man"" menjadi pembawa acara Black Movie Awards?",C
11916,"Band mana yang merilis album studio paling banyak, Redhead Blonde atau band Rob Zombie's White Zombie?",C
11917,Apa jenis mesin bertenaga baik Saab 36 dan Avro Vulcan?,C
11918,"Siapa yang pertama lahir, Krzysztof Zanussi atau Thom Andersen?",C
11919,Di mana gerakan yang August Brancart diterbitkan sastra dari centerd?,C
11920,Caste membintangi aktris karakter Inggris mana yang dinominasikan untuk Penghargaan Akademi untuk penampilannya di Kamar Top?,C
11921,Film apa yang menampilkan atraksi kura-kura berputar di taman terbesar ke-21 yang berbasis di dunia?,C
11922,"Ketika aktor Amerika, sutradara film yang Dana Brunetti adalah presiden perusahaannya lahir",C
11923,Lagu Arizona direkam oleh Paul Revere dan Mark Lindsay tapi siapa yang menulis lagu itu?,C
11924,Stephen susco menulis film yang diproduksi oleh aktor film Amerika yang mana?,C
11925,Amerika Utara Aviation adalah perusahaan yang menciptakan apa mesin tunggal pelatihan pesawat?,C
11926,"""Black Maverick"" adalah biografi dari pemimpin hak-hak sipil Amerika, pemimpin organisasi persaudaraan, pengusaha dan ahli bedah?",C
11927,Lucas da Silva Carvalho adalah pelari cadangan yang tidak digunakan untuk lomba atletik Brasil yang pada acara kelas atas dijalankan di jalur untuk pertama apa?,C
11928,Apakah dokumenter Out of Place dan The Mosuo Sisters oleh direktur yang sama?,C
11929,"Pada tahun berapa aktris yang dibintangi di ""Streak"" dengan Rumer Willis lahir?",C
11930,Nama sekolah Watercliffe Meadow Primary adalah contoh dari istilah apa yang umumnya digunakan untuk menggambarkan penghindaran bahasa tertentu?,C
11931,Muz-TV diluncurkan sebelum 24 jam saluran musik yang dioperasikan oleh perusahaan apa?,C
11932,"Siapa yang lebih tua, George Atzerodt atau Andrew Johnson?",C
11933,Apakah baik Parodia maupun tanaman bunga Thalictrum?,C
11934,Apakah Katedral Guildford dan Katedral St Paul terletak di Inggris?,C
11935,Apakah Distorsi Mirrors dan OK Go keduanya dianggap band rock?,C
11936,"Penulis mana yang seorang ekonom, Czesław Miłosz atau Bhabananda Deka?",C
11937,Peristiwa yang merupakan bagian dari Jalur Kejuaraan Nasional AAA tahun 1954 diadakan di sirkuit balap yang terletak di sudut apa?,C
11938,"Episode Simpsons yang ditayangkan pada tanggal 19 Februari 2012 berjudul ""At Long Last Leave"" mewakili tonggak sejarah apa untuk pertunjukan?",C
11939,Istilah Moneybomb diciptakan oleh Trevor Lyman untuk menggambarkan donor online yang besar atas nama kandidat presiden yang merupakan ketua pertama dari PAC apa?,C
11940,"Kira-kira berapa banyak lokasi BJ's Wholesle Club beroperasi, pada awal 2008?",C
11941,Suku Amerika Utara mana yang menghuni tepi Sungai Winnipesaukee dan juga dikenal sebagai orang Pawtucket?,C
11942,"Apa sub-hasil logam berat menggambarkan band ""It's Alive""?",C
